OID_,ENTITY_ID,CLASS_CODE,SMRS,COUNTY,TOWNLAND,COUNTY_ID,ZONE_ID,ITM_E,ITM_N,LATITUDE,LONGITUDE,MONUMENT_T,FIRST_EDIT,LATEST_EDI,WEBSITE_LI,WEB_NOTES
0,MA00475,STCI,MA011-029----,MAYO,CNOC NA LOBHAR,20,R150650,481347.000000000000000,833446.000000000000000,54.236113162999999,-9.820140436000001,Stone circle, , , https://maps.archaeology.ie/HistoricEnvironment/?SMRS=MA011-029----,The Archaeological Survey of Ireland (ASI) is in the process of providing information on all monuments on The Historic Environment Viewer (HEV). Currently the information for this record has not been uploaded.  To access available  information for resear
1,CL04312,STCI,CL036-042----,CLARE,DRUMMIN (Killokennedy ED),4,R121602,0.000000000000000,0.000000000000000,46.488181431999998,-15.817314300000000,Stone circle, , , https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL036-042----,The Archaeological Survey of Ireland (ASI) is in the process of providing information on all monuments on The Historic Environment Viewer (HEV). Currently the information for this record has not been uploaded.  To access available  information for resear
2,CL03939,STCI,CL034-086----,CLARE,CLOONEY,4,R124333,542112.000000000000000,678853.000000000000000,52.857478127999997,-8.859570138000000,Stone circle, ,'Cromlech' (1921), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CL034-086----,The Archaeological Survey of Ireland (ASI) is in the process of providing information on all monuments on The Historic Environment Viewer (HEV). Currently the information for this record has not been uploaded.  To access available  information for resear
3,CO02283,FISC,CO021-060----,CORK,GLENREAGH (Duhallow By.),5,R111361,518901.000000000000000,603373.000000000000000,52.176202496000002,-9.185752789000000,Stone circle - five-stone, ,'Gallaín' (1937), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO021-060----,"On top of low ridge in rolling pasture. Circle comprised five stones, one of which had fallen; internal diameter 3.5m. Neither entrance stones nor axial stone could be identified with certainty. Stones measured 0.8m to 1.3m L, 0.5m to 0.8m T and 0.5m to"
4,CO08260,FISC,CO059-015002-,CORK,CABRAGH,5,R109801,527806.000000000000000,579931.000000000000000,51.966757653000002,-9.050620539000001,Stone circle - five-stone, ,'Gallauns' (1940), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO059-015002-,"In tract of reclaimed pasture, at head of short valley opening onto Foherish River valley to E. Circle partly incorporated in field fence. Circle incomplete; S side stone missing. Orthostats are 0.7m to 0.9m, L 0.2m to 0.4m T and 0.6m to 1.1m H. Internal"
5,CO08271,FISC,CO059-023002-,CORK,KNOCKRAHEEN,5,R109816,530413.000000000000000,580165.000000000000000,51.969193093000001,-9.012735478000000,Stone circle - five-stone, ,'Stone Circle' (1940), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO059-023002-,"On small moorland plateau at SW end of Boggeragh Mountains, overlooking Foherish River valley to W. Circle complete. Orthostats are 1m to 1.9m L,0.4m to 0.6m T and 0.6m to 0.9m H. Internal measurement along main axis, aligned NE-SW, is 4m. Pair of standi"
6,CO06538,MUSC,CO042-074001-,CORK,LISSARD (Barretts By.),5,R113817,558223.000000000000000,590378.000000000000000,52.063777100000003,-8.609280902000000,Stone circle - multiple-stone, ,'Stone Circle' (1935), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO042-074001-,"Site destroyed between 1963 and 1970. It stood on rolling pasture, 150m SE of Peastinagh River. Six stones of circle remained in 1963, with single internal stone (6817). Orthostats were 0.3m to 1.1m L, 0.1m to 0.25m T and 0.4m to 0.85m H. (O Nualláin 19"
7,CO05886,FISC,CO039-097----,CORK,GLENLEIGH,5,R110343,531784.000000000000000,590416.000000000000000,52.061494895999999,-8.994827415000000,Stone circle - five-stone, ,'Stone Circle' (1936), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO039-097----,"On top of low ridge, in rolling pasture, in N foothills of Boggeragh Mountains. Circle incomplete; W side stone is missing and E entrance stone appears displaced. Orthostats are 0.8m to 2.2m L, 0.25m to 0.6m T and 0.9m to 1.1m H. Internal measurement alo"
8,CO06946,FISC,CO047-005----,CORK,KILMEEDY WEST,5,R110155,523831.000000000000000,588220.000000000000000,52.040723044000003,-9.110298239000000,Stone circle - five-stone, ,Not indicated, https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO047-005----,"In cut-away bog, on SE-facing slope of saddle to SW of Claragh Mountain overlooking Commeenatrush River valley. Circle incomplete; W entrance and side stone missing. Orthostats are 0.95m to 1.45m L, 0.17m to 0.22m T and 0.55m to 0.70m H. Internal measure"
9,CO07013,FISC,CO048-025001-,CORK,CLOGHBOOLA MORE,5,R110055,527556.000000000000000,586971.000000000000000,52.029996840999999,-9.055745521000000,Stone circle - five-stone, ,'Stone Circle' (1938), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO048-025001-,"In gently sloping pasture, on S side of valley of tributary of Finnow River. Circle destroyed c. 1984. Circle was incomplete; stone on W side missing. Orthostats were 0.6m to 1.2m L, 0.3m to 0.5m T and 0.7m to 1.15m H. Measurement along main axis, aligne"
